"good night","NY28B","473b(*)","I","N"," "," ","gπd$Ân•Ω±øt","MS",78
"till bed time","NY28B","473b(*)","Q","Y"," ","INA","t±øÏ$Âb≤´tıtµ∫±øm","MS",78
"good evening","NY28B","473b(*)","I","N"," "," ","gπd$Âi∫vn±øºÓ","MS",78
"night","NY28C"," ","N","N"," ","CNV","nµ±øt","MS",79
"evening","NY28C"," ","N","N"," ","CNV","i∫vn±øºÓ","MS",79
"evening","NY29A","474a","N","N","till sundown"," ","i∫vn±øºn","MS",80
"night","NY29A","474a","N","N"," "," ","nµ´º±øºt","MS",80
"evening","NY29A","474a","N","N","till sundown","CNV","Âi∫v∞´n±æÓ","MS",80
"good evening","NY29A","474a","I","N"," "," ","ıgπd$Âi∫vn±øºÓ","MS",80
"good night","NY29A","474a","I","N"," "," ","gπd$Ânµ´º±øt","MS",80
"night","NY29B","474b","N","N"," "," ","n•±øºt","MS",81
"evening","NY29B","474b","N","N"," ","CNV","iΩivn±øºn","MS",81
"good night","NY29B","474b","I","N"," "," ","ıgπd$Ân•º±øt","MS",81
"night","NY29C","474c","N","N"," ","CNV","nµ´º±øt","MS",82
"good night","NY29C","474c","I","N"," "," ","gπ{Á}Ânµ±øt","MS",82
"evening","NY30A","475a","N","N"," "," ","i∫v±øºn","MS",83
"night","NY30A","475a","N","N","after 10 PM"," ","nµ´±øt","MS",83
"good evening","NY30A","475a","I","N"," "," ","Âgπd$ıi∫vn±øºn","MS",83
"good night","NY30A","475a","I","N"," "," ","Âgπd$ınµ´º±øt","MS",83
"evening","NY30B","475b","N","N"," ","CNV","i∫{j}vn±øºÓ","MS",84
"at night","NY30B","475b","Q","N"," ","CNV","∞t$Ân•´±øt","MS",84
"evening","NY30B","475b","N","N"," ","CNV","i∫vn±øºÓ","MS",84
"good evening","NY30B","475b","I","N","either greeting or leaving"," ","ıgπ´d$Âi∫vn±øºn","MS",84
"evening","NY30C","475c","N","N"," ","CNV","i∫vn±øºn","MS",85
"night","NY30C","475c","N","N"," ","CNV","nµ´±øt","MS",85
"evening","NY30D","475d","N","N"," ","CNV","i∫vn±øºn","MS",86
"good night","NY30D","475d","I","N"," ","CNV","ıgπd$Ânµº±øt","MS",86
"night","NY30E","475e","N","N"," "," ","nµ´±øt","MS",87
"evening","NY30E","475e","N","N"," "," ","i∫vn±øºÓ","MS",87
"good night","NY30E","475e","I","N"," "," ","gπd$Ân•æ±øt","MS",87
"good evening","NY30E","475e","I","N"," "," ","gπd$Âi∫vn±øºÓ","MS",87
"good evening","NY31A","478a","I","N"," "," ","ıguΩd$ÂiΩivn±øºÓ","MS",88
"evening","NY31A","478a","N","N","till bedtime","CNV","iΩivn±øºÓ","MS",88
"evenings","NY31A","478a","N","N","till bedtime","CNV","iΩivn±øºnz","MS",88
"good night","NY31A","478a","I","N","not usual on meeting"," ","ıgπ´d$Ân•´±øt","MS",88
"good night","NY31A","478a","I","N","not usual on meeting","CNV","Âgπın•±øt","MS",88
"evening","NY31B","478b","N","N"," "," ","iΩivn±øºÓ","MS",89
"night","NY31B","478b","N","N"," ","CNV","n•Ωº±øt","MS",89
"good night","NY31B","478b","I","N","greeting"," ","Âgπd$ın•´±øt","MS",89
"good evening","NY31B","478b","I","N"," "," ","ıgπd$ÂiΩi´vn±øÓ","MS",89
"evening","NY32A","479a","N","N"," "," ","iΩivn±øºÓ","MS",90
"night","NY32A","479a","N","N"," "," ","n•Ω±øt","MS",90
"good evening","NY32A","479a","I","N"," "," ","ıgπd$ÂiΩivn±øºn","MS",90
"good night","NY32A","479a","I","N"," "," ","ıgπd$Ân•Ω±øt","MS",90
"good night","NY32A","479a","I","N"," ","CNV","ıgπd$Ân•±øºt","MS",90
"at night","NY32B","479b","Q","N"," ","CNV","∞t$Âna±øt","MS",91
"evening","NY32B","479b","N","N"," "," ","iΩivn±øºÓ","MS",91
"good night","NY32B","479b","I","N"," "," ","Âgπd$ın•Ω±øt","MS",91
"night","NY33A","480","N","N"," ","CNV","nµ´±øt","MS",92
"evening","NY33A","480","N","N"," ","CNV","i∫vn±øºÓ","MS",92
"good night","NY33A","480","I","N"," ","CNV","gπ›ºÂnµ´º±øt","MS",92
"night","NY33B","481","N","N"," ","CNV","n•±øºt","MS",93
"evening","NY33B","481","N","N","""anytime after supper¢"," ","iΩivn±øºÓ","MS",93
"at night","NY33B","481","Q","N"," "," ","∞t$Ân•±øt","MS",93
"good day","NY33B","481","I","N"," "," ","gπ›dÂdeΩ±øΩ","MS",93
"good night","NY33B","481","I","N"," "," ","gπd$Ânµ±øt","MS",93
"night","NY33C","482","N","N"," "," ","nµ±øt","MS",94
"tonight","NY33C","482","N","N"," ","CNV","t∞Ânµ±øºt","MS",94
"night","NY33C","482","N","N"," ","CNV","nµ´±øºt","MS",94
"evening","NY33C","482","N","N"," "," ","iΩ{j}vn±øºn","MS",94
"good night","NY33C","482","I","N","late"," ","gπ{Á}Ânµ±øºt","MS",94
"good evening","NY33C","482","I","N"," "," ","ıgπd$ÂiΩivn±øºÓ","MS",94
"evening","NY34A","483","N","N"," ","CNV","iΩivn±øºÓ","MS",95
"good night","NY34A","483","I","N","exclamation on meeting"," ","Âgπ´d$ın•´±øt","MS",95
"good night","NY34A","483","I","N"," "," ","Âgπ´d$ın•´±øt","MS",95
"NR","NY34B","484"," ","N"," "," "," ","MS",96
"NR","NY34C","485"," ","N"," "," "," ","MS",97
"evening","NY34D!","486!","N","N"," "," ","ÂiΩivn±øÓ","MS",98
"good night","NY34D!","486!","I","N"," ","CNV","ıgπd$Ân•Ω±øt","MS",98
"good night","NY34D!","486!","I","N"," "," ","gπd$Ân•±øt","MS",98
"evening","NY34D!","486!","N","N"," "," ","Âi∫{j}vn±øºÓ","MS",98
"night","NY34D!","486!","N","N"," "," ","nµ±øt","MS",98
"night","NY35A","487","N","N"," "," ","n•±ø´t","MS",99
"evening","NY35A","487","N","N","6 PM"," ","i∫vn±øΩn","MS",99
"evening","NY35B","488","N","N"," "," ","i∫vn±øÓ","MS",100
"night","NY35B","488","N","N"," "," ","n•±øt","MS",100
"NA","NY35C!","489!"," ","N"," "," "," ","MS",101
"night","NY36A","491","N","N"," "," ","n•±øt","MS",102
