"pitcher","NY40A","501"," ","N"," "," ","MS"," ",112
"pitcher","NY40B","502"," ","N"," "," ","MS"," ",113
"pitcher","NY41","504"," ","N"," "," ","MS"," ",114
"pitcher","NY42A","505"," ","N"," "," ","MS"," ",115
"pitcher","NY42B","506"," ","N"," "," ","MS"," ",116
"cup","NY43A","507"," ","N"," "," ","MS"," ",117
"pitcher","NY43B","507b"," ","N"," "," ","MS"," ",118
"pitcher","NY43C!","508!"," ","N"," "," ","MS"," ",119
"cup","NY44A","511"," ","N"," "," ","MS"," ",120
"pitcher","NY44B","512"," ","N"," "," ","MS"," ",121
"jar","NY45A","513a"," ","N"," "," ","MS"," ",122
"jug","NY45A","513a"," ","N"," "," ","MS"," ",122
"demijohn","NY45A","513a"," ","N"," "," ","MS"," ",122
"crock","NY45A","513a"," ","N","Y"," ","MS","crock: lard",122
"ERROR","NY45A","513a"," ","N"," "," ","MS"," ",122
"glass","NY45B","513b"," ","N","Y"," ","MS","jar,glass:mo",123
"crocks","NY45B","513b"," ","N"," "," ","MS"," ",123
"jar","NY45B","513b"," ","N"," "," ","MS"," ",123
"jars","NY45B","513b"," ","N"," "," ","MS"," ",123
"firkins","NY45C","513c"," ","N"," "," ","MS"," ",124
"kegs","NY45C","513c"," ","N","Y"," ","MS","kegs, jugs:",124
"crock","NY45C","513c"," ","N"," "," ","MS"," ",124
"jugs","NY45C","513c"," ","N"," "," ","MS"," ",124
"jugs","NY45D!","513d!"," ","N","Y"," ","MS"," ",125
"tin cans","NY45D!","513d!"," ","N"," "," ","MS"," ",125
"cans","NY46A","515a"," ","N"," "," ","MS"," ",126
"butter tubs","NY46A","515a"," ","N","Y"," ","MS","butter tubs:",126
"jug","NY46A","515a"," ","N"," "," ","MS"," ",126
"crocks","NY46A","515a"," ","N"," "," ","MS"," ",126
"firkins","NY46B","515b"," ","N"," "," ","MS"," ",127
"tubs","NY46B","515b"," ","N","Y"," ","MS","lard",127
"NO RESPONSE","NY46C","515c"," ","N"," "," ","MS"," ",128
"pitcher","NY47A","517(*)"," ","N"," "," ","MS"," ",129
"bottle","NY47A","517(*)"," ","N","Y"," ","MS","bot:syrup; j",129
"jug","NY47A","517(*)"," ","N"," "," ","MS"," ",129
"firkin","NY47A","517(*)"," ","N"," "," ","MS"," ",129
"pitcher","NY47B","518"," ","N"," "," ","MS"," ",130
"jug","NY48A","519a"," ","N","Y"," ","MS","jug: molasse",131
"crocks","NY48A","519a"," ","N"," "," ","MS"," ",131
"barrel","NY48B","519b"," ","N","Y"," ","MS","barrel: mola",132
"jars","NY48B","519b"," ","N"," "," ","MS"," ",132
"crocks","NY48B","519b"," ","N"," "," ","MS"," ",132
"cans","NY48C","519c"," ","N"," "," ","MS"," ",133
"lard pails","NY48C","519c"," ","N"," "," ","MS"," ",133
"jars","NY48C","519c"," ","N"," "," ","MS"," ",133
"molasses jugs","NY48C","519c"," ","N"," "," ","MS"," ",133
"crocks","NY48C","519c"," ","N"," "," ","MS"," ",133
"jugs","NY48D","519d"," ","N"," "," ","MS"," ",134
