"threw a stone","NJ19B!","46!","E","N"," "," "," ","MS",225," ","1"
"he threw a stone","NJ20A","47","S","N"," "," "," ","MS",226," ","1"
"threw a stone","NJ20B","47b","E","N"," "," "," ","MS",227," ","1"
"threw a stone","NJ21A","48","E","N"," "," "," ","MS",228," ","1"
"threw a stone","NJ21B","49","E","N"," "," "," ","MS",229," ","1"
"throwed a stone","PA1A","51","E","N"," "," "," ","MS",230," ","1"
"threw a stone","PA1B","52","E","N"," "," "," ","MS",231," ","1"
"threw a stone","PA1C","53","E","N"," "," "," ","MS",232," ","1"
"threw a stone","PA1D","54","E","N"," "," "," ","MS",233," ","1"
"threw a stone","PA1E!","55!","E","N"," "," "," ","MS",234," ","1"
"threw a stone","PA1F!","56!","E","N"," "," "," ","MS",235," ","1"
"threw a stone","PA1G!","57!","E","N"," "," "," ","MS",236," ","1"
"threw a stone","PA1H!","58!","E","N"," "," "," ","MS",237," ","1"
"threw a stone","PA2A","59","E","N"," "," "," ","MS",238," ","1"
"threw a stone","PA2B","60","E","N"," "," "," ","MS",239," ","1"
"slung a stone","PA3A","61","E","N"," "," "," ","MS",240," ","1"
"threw a stone","PA3B","62","E","N"," "," "," ","MS",241," ","1"
"threw a stone","PA3C","62b","E","N"," "," "," ","MS",242," ","1"
"throwed a stone","PA4A","63","E","N"," "," "," ","MS",243," ","1"
"threw a stone","PA4B!","64!","E","N"," "," "," ","MS",244," ","1"
"threw a stone","PA5A","65(*)","E","N"," "," "," ","MS",245," ","1"
"threw a stone","PA5B","65b","E","N"," "," "," ","MS",246," ","1"
"throwed a stone","PA5C","66","E","N"," "," "," ","MS",247," ","1"
"throwed a stone","PA5D","67","E","N"," "," "," ","MS",248," ","1"
"threw a stone","PA5E!","68!","E","N"," "," "," ","MS",249," ","1"
"throwed a stone","PA6A","69","E","N"," "," "," ","MS",250," ","1"
"threw a rock","PA6B","71","E","N"," "," "," ","MS",251," ","1"
"threw a stone","PA6C","71b","E","N"," "," "," ","MS",252," ","1"
"threw a stone","PA6D!","72!","E","N"," "," "," ","MS",253," ","1"
"throwed a stone","PA7A","73","E","N"," "," "," ","MS",254," ","1"
"threw a stone","PA7B","74","E","N"," "," "," ","MS",255," ","1"
"threw a stone","PA7C","75","E","N"," "," "," ","MS",256," ","1"
