"stallion","NJ8A","19","N","N"," "," "," ","MS",197," ","1"
"stallion","NJ8B","20","N","N"," "," "," ","MS",198," ","1"
"stallion","NJ9A","21","N","N"," "," "," ","MS",199," ","1"
"stallion","NJ9B","22","N","N"," "," "," ","MS",200," ","1"
"stud","NJ10A","24b","N","N"," "," "," ","MS",201," ","1"
"stallion","NJ10B","23","N","N"," "," "," ","MS",202," ","1"
"stallion","NJ10C","24","N","N"," "," "," ","MS",203," ","1"
"stallion","NJ10D!","24c!","N","N"," "," "," ","MS",204," ","1"
"stallion","NJ11A","25","N","N"," "," "," ","MS",205," ","1"
"stallion","NJ11B","26a","N","N"," "," "," ","MS",206," ","1"
"stud","NJ11C","26b","N","N"," "," "," ","MS",207," ","1"
"stallion","NJ12A","27","N","N"," "," "," ","MS",208," ","1"
"stallion","NJ12B","28","N","N"," "," "," ","MS",209," ","1"
"stallion","NJ13A","29","N","N"," "," "," ","MS",210," ","1"
"stallion","NJ13B","30","N","N"," "," "," ","MS",211," ","1"
"stallion","NJ14A","31","N","N"," "," "," ","MS",212," ","1"
"stallion","NJ14B","32","N","N"," "," "," ","MS",213," ","1"
"stallion","NJ15A","33","N","N"," "," "," ","MS",214," ","1"
"stallion","NJ15B","34","N","N"," "," "," ","MS",215," ","1"
"stallion","NJ16A","35","N","N"," "," "," ","MS",216," ","1"
"stallion","NJ16B","36","N","N"," "," "," ","MS",217," ","1"
"stallion","NJ17A","37","N","N"," "," "," ","MS",218," ","1"
"stallion","NJ17B","38","N","N"," "," "," ","MS",219," ","1"
"stallion","NJ18A","41","N","N"," "," "," ","MS",220," ","1"
"stallion","NJ18B","42","N","N"," "," "," ","MS",221," ","1"
"sire","NJ18C!","43!","N","N"," "," "," ","MS",222," ","1"
"stallion","NJ18D!","44!","N","N"," "," "," ","MS",223," ","1"
"stallion","NJ19A","45","N","Y"," ","SUG"," ","MS",224," ","1"
" stallion","NJ19B!","46!","N","N"," "," "," ","MS",225," ","1"
"stallion","NJ20A","47","N","N"," "," "," ","MS",226," ","1"
"stallion","NJ20B","47b","N","N"," "," "," ","MS",227," ","1"
"stallion","NJ21A","48","N","N"," "," "," ","MS",228," ","1"
"stallion","NJ21B","49","N","N"," "," "," ","MS",229," ","1"
"stallion","PA1A","51","N","N"," "," "," ","MS",230," ","1"
"stallion","PA1B","52","N","N"," "," "," ","MS",231," ","1"
"stallion","PA1C","53","N","N"," "," "," ","MS",232," ","1"
"stallion","PA1D","54","N","N"," "," "," ","MS",233," ","1"
"stallion","PA1E!","55!","N","N"," "," "," ","MS",234," ","1"
"stallion","PA1F!","56!","N","N"," "," "," ","MS",235," ","1"
"stallion","PA1G!","57!","N","N"," "," "," ","MS",236," ","1"
"stallion","PA1H!","58!","N","N"," "," "," ","MS",237," ","1"
"stud","PA2A","59","N","N"," "," "," ","MS",238," ","1"
"stud","PA2B","60","N","N"," "," "," ","MS",239," ","1"
"stallion","PA3A","61","N","N"," "," "," ","MS",240," ","1"
"stallion","PA3B","62","N","N"," "," "," ","MS",241," ","1"
"stallion","PA3C","62b","N","N"," "," "," ","MS",242," ","1"
"stallion","PA4A","63","N","N"," "," "," ","MS",243," ","1"
"stallion","PA4B!","64!","N","N"," "," "," ","MS",244," ","1"
"stallion","PA5A","65(*)","N","N"," "," "," ","MS",245," ","1"
"stallion","PA5C","66","N","N"," "," "," ","MS",247," ","1"
"studhorse","PA5D","67","N","N"," "," "," ","MS",248," ","1"
"stallion","PA5E!","68!","N","N"," "," "," ","MS",249," ","1"
"stallion","PA6A","69","N","N"," "," "," ","MS",250," ","1"
"stallion","PA6B","71","N","N"," "," "," ","MS",251," ","1"
"stallion","PA6C","71b","N","N"," "," "," ","MS",252," ","1"
"stallion","PA6D!","72!","N","N"," "," "," ","MS",253," ","1"
"stallion","PA7A","73","N","N"," "," "," ","MS",254," ","1"
"stallion","PA7B","74","N","N"," "," "," ","MS",255," ","1"
"stud","PA7C","75","N","N"," "," "," ","MS",256," ","1"
"stallion","PA7D!","76!","N","N"," "," "," ","MS",257," ","1"
"stallion","PA8A","77","N","N"," "," "," ","MS",258," ","1"
"stallion","PA8B","78","N","N"," "," "," ","MS",259," ","1"
"stallion","PA8C","79","N","N"," "," "," ","MS",260," ","1"
"stallion","PA8D!","80!","N","N"," "," "," ","MS",261," ","1"
"stallion","PA9A","83","N","N"," "," "," ","MS",262," ","1"
"stallion","PA9B","83b","N","N"," "," "," ","MS",263," ","1"
"stallion","PA9C!","84!","N","N"," "," "," ","MS",264," ","1"
"stallion","PA10","87","N","N"," "," "," ","MS",265," ","1"
"stallion","PA11A","89","N","N"," "," "," ","MS",266," ","1"
"studhorse","PA11B","90(*)","N","N"," "," "," ","MS",267," ","1"
"stallion","PA12A","91","N","N"," "," "," ","MS",268," ","1"
"stallion","PA12B","92","N","N"," "," "," ","MS",269," ","1"
"stallion","PA13A","93","N","N"," "," "," ","MS",270," ","1"
"stallion","PA13B","94","N","N"," "," "," ","MS",271," ","1"
"stallion","PA14A","95(*)","N","N"," "," "," ","MS",272," ","1"
"stallion","PA14B","96","N","N"," "," "," ","MS",273," ","1"
"NR","PA14C","95X"," ","N"," "," "," "," ",274," ","1"
"stallion","PA15A","99","N","N"," "," "," ","MS",275," ","1"
"stallion","PA15B","99b","N","N"," "," "," ","MS",276," ","1"
"stallion","PA15C!","100!","N","N"," "," "," ","MS",277," ","1"
"stallion","PA16A","101","N","N"," "," "," ","MS",278," ","1"
"stallion","PA16B","102","N","N"," "," "," ","MS",279," ","1"
"stallion","PA16C","103","N","N"," "," "," ","MS",280," ","1"
"stallion","PA17A","105","N","N"," "," "," ","MS",281," ","1"
"stallion","PA17B","106","N","N"," "," "," ","MS",282," ","1"
"stallion","PA18A","107","N","N"," "," "," ","MS",283," ","1"
"stallion","PA18B!","108!","N","N"," "," "," ","MS",284," ","1"
"studhorse","PA19A","113","N","N"," "," "," ","MS",285," ","1"
"stud","PA19B","114","N","N"," "," "," ","MS",286," ","1"
"stallion","PA20A","115","N","N"," "," "," ","MS",287," ","1"
"stallion","PA20B","116","N","N"," "," "," ","MS",288," ","1"
"stallion","PA21A","117","N","N"," "," "," ","MS",289," ","1"
"stallion","PA21B","118","N","N"," "," "," ","MS",290," ","1"
"stallion","PA22A","119","N","N"," "," "," ","MS",291," ","1"
"stallion","PA22B","120","N","N"," "," "," ","MS",292," ","1"
"stallion","PA23A","121","N","N"," "," "," ","MS",293," ","1"
"stallion","PA23B","122","N","N"," "," "," ","MS",294," ","1"
"stallion","PA24A","123","N","N"," "," "," ","MS",295," ","1"
"stallion","PA24B","124","N","N"," "," "," ","MS",296," ","1"
"stallion","PA25A","125","N","N"," "," "," ","MS",297," ","1"
"stallion","PA25B","126","N","N"," "," "," ","MS",298," ","1"
