"sap buckets","NY30E","475e"," ","N","Y",-0-,"MS","jug, tin can",87.
"jug","NY30E","475e"," ","N","Y",-0-,"MS","jug, tin can",87.
"jar","NY30E","475e"," ","N","Y",-0-,"MS"," ",87.
"milk pan","NY31A","478a"," ","N","Y",-0-,"MS","hh: older; h",88.
"hogsheads","NY31A","478a"," ","N"," ",-0-,"MS",-0-,88.
"milk pan","NY31A","478a"," "," ","Y",-0-,"MS"," ",88.
"barrel","NY31A","478a"," ","N"," ",-0-,"MS",-0-,88.
"barrel","NY31A","478a"," ","N","Y",-0-,"MS","hh: older; h",88.
"barrel","NY31B","478b"," ","N"," ",-0-,"MS",-0-,89.
"milk pans","NY31B","478b"," ","N","Y",-0-,"MS","barrel: mola",89.
"pans","NY31B","478b"," ","N"," ",-0-,"MS",-0-,89.
"barrels","NY32A","479a"," ","N"," ",-0-,"MS",-0-,90.
"jug","NY32A","479a"," ","N"," ",-0-,"MS",-0-,90.
"cans","NY32A","479a"," ","N"," ",-0-,"MS",-0-,90.
"tubs","NY32A","479a"," ","N","Y",-0-,"MS","cans: syrup;",90.
"jars","NY32B","479b"," ","N"," ",-0-,"MS",-0-,91.
"jug","NY32B","479b"," ","N"," ",-0-,"MS",-0-,91.
"glass cans","NY32B","479b"," "," ","Y",-0-,"MS","jars: lard;",91.
"pail","NY33A","480"," "," ","Y",-0-,"MS",-0-,92.
"can","NY33A","480"," ","N","Y",-0-,"MS","can: syrup;",92.
"NO RESPONSE","NY33B","481"," ","N"," ",-0-,"MS",-0-,93.
"ERROR","NY33C","482"," "," "," ",-0-,"MS",-0-,94.
"half barrels","NY33C","482"," ","N","Y",-0-,"MS","half barrels",94.
"pails","NY33C","482"," "," "," ",-0-,"MS",-0-,94.
"jugs","NY34A","483"," ","N","Y",-0-,"MS","jg: molasses",95.
"crocks","NY34A","483"," ","N","Y",-0-,"MS"," ",95.
"jars","NY34A","483"," ","N","Y",-0-,"MS","jg:molasses;",95.
"jars","NY34B","484"," ","N"," ",-0-,"MS",-0-,96.
"barrels","NY34B","484"," ","N"," ",-0-,"MS",-0-,96.
"lard tubs","NY34B","484"," ","N"," ",-0-,"MS",-0-,96.
"hogsheads","NY34B","484"," ","N"," ",-0-,"MS",-0-,96.
"cans","NY34B","484"," ","N"," ",-0-,"MS",-0-,96.
"tubs","NY34B","484"," ","N"," ",-0-,"MS",-0-,96.
"crocks","NY34B","484"," ","N","Y",-0-,"MS","barrels: mol",96.
"tins","NY34B","484"," ","N"," ",-0-,"MS",-0-,96.
"jugs","NY34B","484"," ","N","Y",-0-,"MS","barrels: mol",96.
"stone jar","NY34C","485"," ","N"," ",-0-,"MS",-0-,97.
"churn","NY34C","485"," ","N","Y",-0-,"MS","stone jug, c",97.
"syrup jug","NY34C","485"," ","N"," ",-0-,"MS",-0-,97.
"molasses jug","NY34C","485"," ","N","Y",-0-,"MS"," ",97.
"syrup crock","NY34C","485"," ","N"," ",-0-,"MS",-0-,97.
"bottle","NY34D!","486!"," ","N"," ",-0-,"MS",-0-,98.
"ERROR","NY34D!","486!"," "," "," ",-0-,"MS",-0-,98.
"bottle","NY34D!","486!"," ","N"," ",-0-,"MS",-0-,98.
"firkin","NY34D!","486!"," ","N"," ",-0-,"MS",-0-,98.
"firkin","NY34D!","486!"," ","N"," ",-0-,"MS",-0-,98.
"jug","NY34D!","486!"," ","N","Y",-0-,"MS",-0-,98.
"pitcher","NY35A","487"," ","N"," ",-0-,"MS",-0-,99.
"pitcher","NY35B","488"," ","N"," ",-0-,"MS",-0-,100.
"jug","NY35C!","489!"," ","N"," ",-0-,"MS",-0-,101.
"pitcher","NY36A","491"," ","N"," ",-0-,"MS",-0-,102.
"pitcher","NY36B","492"," ","N"," ",-0-,"MS",-0-,103.
"pitcher","NY37A","493"," ","N"," ",-0-,"MS",-0-,104.
"pitcher","NY37B","494"," ","N"," ",-0-,"MS",-0-,105.
"pitcher","NY37C!","495!"," ","N"," ",-0-,"MS",-0-,106.
"pitcher","NY38A","497(*)"," ","N"," ",-0-,"MS",-0-,107.
"pitcher","NY38B","498"," ","N"," ",-0-,"MS",-0-,108.
-0-,"NY38C",-0-,-0-,-0-,-0-,-0-,-0-,-0-,109.
"mug","NY39A","499"," ","N"," ",-0-,"MS",-0-,110.
"pitcher","NY39A","499"," ","N"," ",-0-,"MS",-0-,110.
"pitcher","NY39B","500"," ","N"," ",-0-,"MS",-0-,111.
"pitcher","NY40A","501"," ","N"," ",-0-,"MS",-0-,112.
"pitcher","NY40B","502"," ","N"," ",-0-,"MS",-0-,113.
"pitcher","NY41","504"," ","N"," ",-0-,"MS",-0-,114.
"pitcher","NY42A","505"," ","N"," ",-0-,"MS",-0-,115.
"pitcher","NY42B","506"," ","N"," ",-0-,"MS",-0-,116.
"cup","NY43A","507"," ","N"," ",-0-,"MS",-0-,117.
"pitcher","NY43B","507b"," ","N"," ",-0-,"MS",-0-,118.
"pitcher","NY43C!","508!"," ","N"," ",-0-,"MS",-0-,119.
"cup","NY44A","511"," ","N"," ",-0-,"MS",-0-,120.
"pitcher","NY44B","512"," ","N"," ",-0-,"MS",-0-,121.
"jar","NY45A","513a"," ","N"," ",-0-,"MS",-0-,122.
"jug","NY45A","513a"," ","N"," ",-0-,"MS",-0-,122.
"demijohn","NY45A","513a"," ","N"," ",-0-,"MS",-0-,122.
"crock","NY45A","513a"," ","N","Y",-0-,"MS","crock: lard",122.
"ERROR","NY45A","513a"," ","N"," ",-0-,"MS",-0-,122.
"glass","NY45B","513b"," ","N","Y",-0-,"MS","jar,glass:mo",123.
"crocks","NY45B","513b"," ","N"," ",-0-,"MS",-0-,123.
"jar","NY45B","513b"," ","N"," ",-0-,"MS",-0-,123.
"jars","NY45B","513b"," ","N"," ",-0-,"MS",-0-,123.
"firkins","NY45C","513c"," ","N"," ",-0-,"MS",-0-,124.
"kegs","NY45C","513c"," ","N","Y",-0-,"MS","kegs, jugs:",124.
"crock","NY45C","513c"," ","N"," ",-0-,"MS",-0-,124.
"jugs","NY45C","513c"," ","N"," ",-0-,"MS",-0-,124.
"jugs","NY45D!","513d!"," ","N","Y",-0-,"MS",-0-,125.
"tin cans","NY45D!","513d!"," ","N"," ",-0-,"MS",-0-,125.
"cans","NY46A","515a"," ","N"," ",-0-,"MS",-0-,126.
"butter tubs","NY46A","515a"," ","N","Y",-0-,"MS","butter tubs:",126.
